"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","41.71","41.56","43.83","41.56","3.37K","0.70%"
"01/22/2026","41.42","41.99","44.00","41.01","13.42K","1.77%"
"01/21/2026","40.70","40.20","41.88","40.20","9.59K","-1.06%"
"01/20/2026","41.13","43.50","43.50","40.13","29.05K","-4.78%"
"01/19/2026","43.20","41.01","44.68","41.01","4.95K","-1.82%"
"01/16/2026","44.00","45.00","45.00","43.50","8.05K","-1.35%"
"01/15/2026","44.60","46.00","46.00","44.35","10.32K","-1.65%"
"01/14/2026","45.35","46.45","46.45","44.15","12.90K","-1.84%"
"01/13/2026","46.20","46.50","46.50","45.00","35.29K","-0.65%"
"01/12/2026","46.50","47.00","47.00","45.30","12.07K","-0.85%"
"01/09/2026","46.90","47.45","47.45","46.05","5.31K","-0.21%"
"01/08/2026","47.00","45.90","47.50","45.90","12.09K","-1.16%"
"01/07/2026","47.55","47.40","47.70","45.90","23.51K","0.32%"
"01/06/2026","47.40","47.75","48.10","46.40","15.34K","2.49%"
"01/05/2026","46.25","47.00","48.10","45.40","13.69K","-1.60%"
"01/02/2026","47.00","49.85","49.85","46.55","32.94K","-4.28%"
"12/30/2025","49.10","48.95","50.70","47.90","51.36K","2.29%"
"12/29/2025","48.00","46.95","49.45","45.00","33.86K","2.02%"
"12/23/2025","47.05","47.90","47.90","45.50","26.71K","-1.36%"
"12/22/2025","47.70","48.15","48.15","47.00","17.97K","1.49%"